내용,대입연도,대학명,모집단위,전형명
Q : 짧게 자기소개 부탁합니다.,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 먼저 수학에 관한 질문부터 하고 이후 전공 질문을 진행하겠습니다. (입학사정관으로 추정되는 분이 질 문) 정규분포와 이항분포에 관해 설명해 주세요.,2025,GIST,기초교육학부,학생부종합 고른기회전형
"Q : 피어슨 카이제곱 통계량과 카이제곱 분포, 카이제곱 검정은 어떤 것인지 설명해 주세요.",2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : (꼬리 질문) 다른 통계량이나 간단한 검정 방법도 있는데 굳이 카이제곱에 관련된 것을 써야 하는 이유 는 무엇인가요?,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 분산의 정의와 이를 어떻게 계산할 수 있는지 알려주세요.,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 이제 전공 질문을 진행하겠습니다. (교수님으로 추정되시는 분이 질문) pH와 pKa가 무엇인지 답변해 주 세요.,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 항체 약물 접합체에 관한 내용은 어디서 접하게 되었나요?,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 현재 신약 개발 분야에서 어떤 연구가 일어나고 있는지 잘 아는 것 같고 호기심이 많은 것 같다. 그리 고 학생부에서 재미있게 읽은 내용이 있는데 사이토크롬 효소를 크리스퍼 유전자 가위로 유전자 편집을  해서 대사 속도를 변화시킨다고 했는데 사이토크롬 효소가 어떤 역할을 하는가요?,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : (꼬리 질문) 그런 역할들을 하는데 유전자를 편집하면 다른 역할들을 못 하게 될 수 있는데 위험하지 않 을까요?,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 크리스퍼 유전자 가위는 어떨 때 사용하면 가장 효과적인가요?,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 어떤 공동체 활동을 경험했나요?,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 팀원으로서 활동할 경우도 있을 텐데 만약 팀장이 고압적이면 어떻게 대처할 건지?,2025,GIST,기초교육학부,학생부종합 고른기회전형
Q : 자기소개를 해보세요.,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 미분이 무엇인지 설명해 보세요.,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 미분을 활용하는 이유 또는 사례에 관해 설명해 보세요.,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 원숭이 두창 자가진단 키트를 설계했다고 되어있는데 코로나바이러스와의 관계는 어떻게 되나요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 블루투스 지연에 대해 알고 있는가요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 로봇팔을 제작할 때 어떤 식으로 연결했나요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 타임머신을 타고 아무런 문명이 없는 20만 년 후로 갈 때 오직 책 2권만 가져갈 수 있다면 어떤 책을  들고 갈 것인가요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 마지막으로 하고 싶은 말 있나요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 문제풀이에 대해 자신이 생각한 것을 말씀해주세요.,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 정착 후 200년 때 국민의 만족도가 낮아진 것과 AI로봇 보급의 급증의 발단을 러다이트 운동과 관련지어  설명했는데 이를 다시 한 번 설명해주실 수 있나요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 켄트로늄 자원고갈에 대해 어떻게 대처하시겠습니까?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 에너지 절약이 중요한 이유는 무엇입니까?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 켄트로늄의 발전방식을 상상해서 설명해주세요.,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 연소가 무엇입니까?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : (그림을 보며)여기서 어떤 에너지를 추가로 더 이용할 수 있을까요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 혹시 풍력발전도 생각해볼 수 있지 않을까요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 클라우드가 발전해서 AI가 일상생활에도 사용된다는 결과가 나온 것으로 생각했다고 말씀하셨는데 이런  미래가 오면 좋겠나요? 아니면 이런 미래가 올 것이라고 예상하나요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 켄텍을 어떻게 알게 되셨나요? 켄텍에 들어오면 하고 싶은 연구가 있나요?,2025,GIST,기초교육학부,학생부종합 일반전형
Q : 간단한 자기소개 부탁드립니다.,2025,가천대,간호학과,학생부교과 지역균형전형
Q : 3학년 생명과학2 시간에 페닐케톤 요증에 대해 탐구했던데 설명해 볼 수 있을까요?,2025,가천대,간호학과,학생부교과 지역균형전형
"Q : 3학년 진로시간에 아나필락시스라는 단어가 눈에 띄네요. 아나필락시스 발생과정, 예방법, 해결책 등 설 명해 볼 수 있을까요?",2025,가천대,간호학과,학생부교과 지역균형전형
Q : 너무 길어서 다음 질문드리겠습니다. 고급생명 시간에 제1형 당뇨병과 제2형 당뇨병에 관해 탐구했던데  구체적으로 차이점이랑 탐구한 내용 설명해 볼래요?,2025,가천대,간호학과,학생부교과 지역균형전형
Q : 생명과학1 시간에 호르몬과 신경의 차이점을 분석했다고 적혀있는데 당뇨병 말고 또 다른 호르몬으로  발생하는 질병 아는 게 있으면 설명해 볼래요?,2025,가천대,간호학과,학생부교과 지역균형전형
"Q : 아, 그럼 제가 여기 적혀있는 거 알려드릴게요. 갑상샘 기능 항진증이 있는데 설명해 볼 수 있을까요?",2025,가천대,간호학과,학생부교과 지역균형전형
Q : 그럼 갑상샘 자극 호르몬은 어디서 나올까요?,2025,가천대,간호학과,학생부교과 지역균형전형
Q : 아 그 전에 어디서 나오는지 다시 한번 얘기해 볼래요?,2025,가천대,간호학과,학생부교과 지역균형전형
Q : 네. 시간이 다 돼서 혹시 마지막으로 하고 싶은 말 있을까요?,2025,가천대,간호학과,학생부교과 지역균형전형
Q : 간단한 자기소개 부탁해요.,2025,가천대,건축학부,학생부종합 농어촌(종합)전형
