내용,대입연도,대학명,모집단위,전형명
Q : 자소서/생기부 보니 IT에 관심이 많은 것 같은데 관심을 갖게 된 계기가 있나요?,2017,DGIST,기초학부,미래브레인 추천전형
Q : (말 끊으며)언니는 뭐해요?/무슨 학교?/무슨 과?,2017,DGIST,기초학부,미래브레인 추천전형
Q : 그럼 IT관련해서 어떤 걸 하고싶냐(이런 뉘앙스였는데 정확히 기억안남),2017,DGIST,기초학부,미래브레인 추천전형
Q : 다른 학교는 어디 지원했어요?/다른 과기원은 안했어요?/다른 학교는 무슨 과?,2017,DGIST,기초학부,미래브레인 추천전형
Q : 그럼 진로가 거의 확실한데 만약에 학생이 하는 일이 하다 보니까 자신과 안 맞으면 어떡할 거에요?,2017,DGIST,기초학부,미래브레인 추천전형
"Q : 그럼 나중에 일을 하게 되었을 때 일이 정말 어렵고 힘들다, 상사가 계속 지적한다, 그러면 어떡할 거에요?",2017,DGIST,기초학부,미래브레인 추천전형
Q : (약간 웃으면서)정말 말도 안 되는 걸로 꼬투리 잡으면? 야근 새벽까지 시키고?,2017,DGIST,기초학부,미래브레인 추천전형
Q : (약간 비웃음) 야근하고 오면 새벽 3시고 그런데 뭐 해먹을 수 있겠어요? 요리하고? 안되겠죠?,2017,DGIST,기초학부,미래브레인 추천전형
Q : 디지스트에서 공부하는게 힘든 거 알죠? 과제도 많고 밤새서 공부해야 되는데 할 수 있겠어요?,2017,DGIST,기초학부,미래브레인 추천전형
Q : 제일 자신 없는 과목이 뭐에요? ,2017,DGIST,기초학부,미래브레인 추천전형
Q : 디지스트 오면 과고에서 온 물리 완전 잘하는 물리괴물들 많을 텐데 괜찮겠어요?,2017,DGIST,기초학부,미래브레인 추천전형
Q : 그럼 제일 자신 있는 과목은 뭐에요?,2017,DGIST,기초학부,미래브레인 추천전형
Q : 여기 오면 마찬가지로 수학괴물도 많을 텐데 자괴감 들지 않겠어요? ,2017,DGIST,기초학부,미래브레인 추천전형
Q : 마지막으로 하고 싶은 말이나 아까 못한 말 있으면 하세요. ,2017,DGIST,기초학부,미래브레인 추천전형
"Q : 처음에 면접관님이 자기의견 말하는 시간 30초씩 주고 이야기 하라고 함. 우리 조 팀원들은 다 이야기하다가 짤렸음. 그 뒤에는 팀원들끼리 알아서 진행하고, 시간 다 되면 면접관님이 끊고 마지막 발언 할 시간 줌.",2017,DGIST,기초학부,미래브레인 추천전형
Q : 가는길은 무엇인가요?,2017,DGIST,기초학부,일반 수시 브레인전형
Q : 대학학 면접은 어떤 형식으로 이루어지나요?,2017,DGIST,기초학부,일반 수시 브레인전형
Q : 문제는 어떻게 풀어야 하나요?,2017,DGIST,기초학부,일반 수시 브레인전형
Q : [토의주제] DGIST 와 같은 이공계 특성 대학에서 인문학을 중요시해야 하는 이유와 이에 대한 구체적 사례를 들어 본인의 의견을 개진하시오.,2017,DGIST,기초학부,미래브래인-브래인전형
"Q : [수학문제] 미분문제 1개, 확통문제 1개",2017,DGIST,기초학부,미래브래인-브래인전형
"Q : [과학문제] (화학선택) 이온화에너지문제 1개, 연료전지문제 1개",2017,DGIST,기초학부,미래브래인-브래인전형
Q : 성적을 보니까 학년이 올라가면서 살짝씩 떨어지는거 같은데 거기에 대한 이유가 있나요?,2017,DGIST,기초학부,미래브래인-브래인전형
Q : 그러면 그것을 자기가 적절히 관리를 못하나요?,2017,DGIST,기초학부,미래브래인-브래인전형
Q : 그럼 디지스트에 지원한 이유가 뭔가요?,2017,DGIST,기초학부,미래브래인-브래인전형
"Q : 대학생이 되면서 더 넓은 세상을 만난다고 했는데, 디지스트는 현풍골짜기에 있어서 그게 좀 어려울 것 같은데요?",2017,DGIST,기초학부,미래브래인-브래인전형
"Q : 그러면, 오히려 서울에 있는 종합대학으로 가면 더 넓지 않나요?",2017,DGIST,기초학부,미래브래인-브래인전형
Q : 혹시 우리학교에 선배가 있나요?,2017,DGIST,기초학부,미래브래인-브래인전형
Q : 다른학교는 어디 지원했어요?,2017,DGIST,기초학부,미래브래인-브래인전형
