내용,대입연도,대학명,모집단위,전형명
Q : 자신이 생각하는 고고학의 가치,2013,경북대,고고인류학과,입학사정관
Q : 전공 관련 서적을 읽은 경험,2013,경북대,고고인류학과,입학사정관
Q : 봉사활동 경험,2013,경북대,고고인류학과,입학사정관
Q : 구제 발굴은 무엇이고 그것이 초래하고 있는 문제점은 무엇인가?,2013,경북대,고고인류학과,입학사정관
Q : 전공과 관련된 활동,2013,경북대,고고인류학과,입학사정관
Q : 고고학과 문화인류학의 차이,2013,경북대,고고인류학과,입학사정관
Q : 자연과학이란 무엇인가? 그 발전된 순서는?,2013,경북대,자연자율전공,이웃사랑
Q : 한중 FTA가 활발해지면서 한국과 중국 사이에 무역시장이 커지면 서로에게 어떤 영향을 미치며 장점은?,2013,경북대,중어중문학과,입학사정관
"Q : [공통문항]구글 글라스에 대하여: 우리 삶에 미치는 영향, 대중화 하기 위한 방법, 자신이 추가하고 싶은 기능과 그 이유는?",2013,계명대,간호학과,면접우수자
Q : VDT 증후군,2013,계명대,간호학과,일반전형
Q : (기본)자신의 단점이 무엇입니까? 그 단점을 극복하기 위해 어떤 노력이 필요한지 말해 보시오.,2013,계명대,계열공통,면접
Q : (학업)본 학과를 지원한 이유를 말해 보시오.,2013,계명대,계열공통,면접
"Q : (학업)본 학과에서 학업을 수행하는데 필요한 능력은 무엇이라고 생각하며, 어떻게 개발할 계획인지 말해 보시오.",2013,계명대,계열공통,면접
Q : (학업)본 학과와 관련된 최근 뉴스 중 가장 기억에 남는 내용은 무엇입니까? ,2013,계명대,계열공통,면접
"Q : (학업)인생에서 직업이 가지는 의미는 무엇이며, 대학교육이 어떤 도움이 된다고 생각하는지 말해 보시오.",2013,계명대,계열공통,면접
Q : (학업)입학 후 학업 이외에 가장 하고 싶은 활동은 무엇인지 말해 보시오.,2013,계명대,계열공통,면접
Q : (학업)입학 후 대학에서의 학업계획에 대해서 구체적으로 말해 보시오.,2013,계명대,계열공통,면접
Q : (기본)글로벌 인재의 조건은 무엇이라고 생각합니까? 그 이유는 무엇입니까?,2013,계명대,계열공통,면접
Q : (기본)자신의 의견이 다수의 의견과 달랐던 경험이 있습니까? 그 때 어떻게 대처했습니까?,2013,계명대,계열공통,면접
Q : (기본)고교시절 가장 기억에 남는 나눔 또는 배려 활동은 무엇이었습니까? 그 경험을 통해서 무엇을 배웠습니까?,2013,계명대,계열공통,면접
Q : (기본)미래에 가정을 이룬다면 어떤 가훈을 정하겠습니까? 그 이유는 무엇입니까?,2013,계명대,계열공통,면접
"Q : (기본)‘작심삼일’이라는 말처럼 자기 자신과 한 약속을 지키지 못했던 사례 하나를 들고, 어떻게 대처했는지 말해 보십시오.",2013,계명대,계열공통,면접
Q : 작심삼일이라는 말처럼 자기 자신과 한 약속을 지키지 못했던 사례를 하나 들고 어떻게 대처했는지 말해 보시오.,2013,계명대,교통공학과,일반전형
Q : 자건거 이용을 활성화하기 위한 방법이 무엇인지 말해보시오.,2013,계명대,교통공학과,일반전형
