내용,대입연도,대학명,모집단위,전형명
Q : 2 이상의 n에 대해 fn(x)(분수식)에 대해 f`(x)0를 만족하는 x가 0과 1사이에 있음을 보여라,2015,KAIST,무학과,학교장 추천 전형
"Q : h(x)(분자), g(x)(분모)식에 대해 증감을 조사해라",2015,KAIST,무학과,학교장 추천 전형
Q : 개념을 위주로 공부했다고 하셨는데 구체적으로 말씀해 주실 수 있습니까?,2015,KAIST,무학과,학교장 추천 전형
Q : 금속 실린더의 비저항에 따라 제동력이 어떻게 될지,2015,KAIST,무학과,학교장 추천 전형
Q : 위의 결과를 이용하여 f(x)가 최대가 되는 x인 an에 대해 lim f(an)을 구하여라,2015,KAIST,무학과,학교장 추천 전형
Q : 자기소개,2015,KAIST,무학과,학교장 추천 전형
Q : 자신이 사회에서 어떠한 역할을 할 수 있을지를 생각해 본 적 있습니까?,2015,KAIST,무학과,학교장 추천 전형
Q : 자이로드롭 제동시스템 원리가 어떻게 되나요?,2015,KAIST,무학과,학교장 추천 전형
"Q : 중학교 이전에 장난기가 많았다고 했는데, 어떠한 일을 계기로 그런 결심을 하게 되었습니까?",2015,KAIST,무학과,학교장 추천 전형
Q : 평소에 두려워 하던 것이 있습니까? (전혀 예상 못함),2015,KAIST,무학과,학교장 추천 전형
Q : 하강하기 전까지 에너지 변화,2015,KAIST,무학과,학교장 추천 전형
Q : 할로젠화 수소에 대해 약산인 것과 강산인 것을 고르시오. 그리고 수용액에서 플루오린화 수소의 이온화도의 대략적인 값을 구하시오,2015,KAIST,무학과,학교장 추천 전형
Q : 3년간 진로희망을 기관사라고 했는데 다른 학교는 어디에 지원했는가?,2015,경북대,응용생명과학부,학생부종합전형
Q : 학교생활을 하며 가장 기억에 남는 활동이 있는가?,2015,경북대,응용생명과학부,학생부종합전형
Q : 자연 계발과 자연 보존 중 어디를 선택할것이냐,2015,계명대,토목공학과,일반전형
Q : 고등학교때 가장 많이 한 활동,2015,계명대,토목공학과,일반전형
Q : 내 인생에 영향을 끼친 사람,2015,계명대,토목공학과,일반전형
Q : 지원동기?,2015,계명대,토목공학과,일반전형
Q : 남녀 간에 적합한 직업이 있다는 주장이 있다. 이 주장에 대해 어떻게 생각하는가?,2015,대구대,화학공학과,수시
Q : 반에 피부색이 다른 학생이 있을 때 교사라면 어떻게 지도 할 것인가?,2015,대구대,화학공학과,수시
Q : 학과에 지원하게 된 동기와 학과에서 어떻게 공부하고 싶은지 말해보세요.,2015,대구대,화학공학과,수시
Q : [인성 지문]이건좀 지문이 길어 교수님들한테 좀 읽겠습니다. 라고 양해 구하고 캐롤라인이라는 사람이 맨날 등급을 맞았는데 다른 데를 진학했나? 하여튼 자기의 평균이 하향됐데 그래서 좌절했다는데 그 이유와 내가 캐롤라인이었으면 어떤 노력을 하겠는가?,2015,영남대,유아교육과,잠재능력우수자전형
Q : [전공]아이들이 폭력을 당하는 사례가 요즘 생기는데 이런 일이 왜생기는지 말하고 그 예방법은?,2015,영남대,유아교육과,잠재능력우수자전형
Q : [전공]유치원교사가 되려면 어떤 자질 3가지가 필요하고 유치원 교사를 한다고 했을 때 반대하거나 다른 직업을 요구한 사례가 있으면 어떻게 대처하고 행동했나?,2015,영남대,유아교육과,잠재능력우수자전형
Q : [추가] 자신이 만약 그러한 상황에 빠지게 된다면 어떻게 행동할 것인지 말해 주시기 바랍니다.,2015,영남대,인문자율전공,잠재능력우수자전형
Q : [질문2] 자신의 장래희망을 가지게 해 준 롤모델에 관하여 말씀해주시기 바랍니다.,2015,영남대,인문자율전공,잠재능력우수자전형
Q : 건축학부에 지원하게 된 동기,2015,이화여대,간호학과,고교추천전형
Q : 이대 건축을 지원한 이유,2015,이화여대,간호학과,고교추천전형
Q : 자신의 장단점을 말해보라.,2015,한국교원대,화학교육과,NAVI인재전형
Q : 좀 더 구체적으로 어떤 것을 배우는지 알고 있는가?,2015,한국교원대,화학교육과,NAVI인재전형
Q : 철도운전학과에 대해 아는 대로 말해보라.,2015,한국교원대,화학교육과,NAVI인재전형
Q : 학교생활 중 가장 인상 깊었던 활동이 있는가?,2015,한국교원대,화학교육과,NAVI인재전형
Q : 예술이나 체육분야에서 지정된 대회에서 수상 할 시 군면제가 된다. 이 제도의 장단점과 발전시켜야 할 부분은?,2015,한동대,전학부,지역인재
Q : 마지막으로 하고 싶은 말은?,2015,한동대,전학부,지역인재
Q : 생활기록부에 적힌 동아리 활동외에 다른 활동으로 무엇을 하였는가?,2015,한동대,전학부,지역인재
Q : 왜 꼭 한동이여야만 하는가?,2015,한동대,전학부,지역인재
"Q : 한동대학교는 의학, 약학 전문 대학원이 없는데 왜 한동대학교 생명과학부를 진학하고 싶은가?",2015,한동대,전학부,지역인재
Q : 한동대학교에 지원한 동기는?,2015,한동대,전학부,지역인재
