내용,대입연도,대학명,모집단위,전형명
Q : 수학 관련 탐구를 정말 많이 한 거 같은데 테일러급수에 관해 설명해 주세요.,2024,GIST,기초교육학부,일반전형
Q : 학교생활 중 가장 인상 깊었던 활동을 말해주세요.,2024,GIST,기초교육학부,일반전형
Q : (꼬리질문) 활동 중 어려웠던 부분은?,2024,GIST,기초교육학부,일반전형
Q : 그럼 이후에는 띄어쓰기나 문법적 특징을 전부 고려할 수 있었나요?,2024,GIST,기초교육학부,일반전형
Q : Chat GPT에 관해 어떻게 생각하시나요?,2024,GIST,기초교육학부,일반전형
Q : 학교생활 중 교과 외로 가장 인상 깊었던 활동은?,2024,GIST,기초교육학부,일반전형
Q : 자신의 장점이 무엇이라고 생각하나요?,2024,GIST,기초교육학부,일반전형
Q : 가장 인상 깊었던 책은? & 마지막으로 하고 싶은 말은?,2024,GIST,기초교육학부,일반전형
Q : 자기소개 한 번 해볼까요?,2024,GIST,기초교육학부,학생부종합전형 학교장추천전형
Q : 1학년 수학 시간에 힐베르트의 호텔 문제에 관해 탐구했다고 되어 있는데 이에 관해 설명해 보세요.,2024,GIST,기초교육학부,학생부종합전형 학교장추천전형
Q : 2학년 수학2 시간에 롤의 정리 관련 내용이 있는데 이에 관해 설명해 보세요. ,2024,GIST,기초교육학부,학생부종합전형 학교장추천전형
"Q : 양자 컴퓨터 관련 탐구를 했다고 되어 있는데, 큐비트에 관해 설명해 보세요.",2024,GIST,기초교육학부,학생부종합전형 학교장추천전형
Q : 중첩이 무엇인가요?,2024,GIST,기초교육학부,학생부종합전형 학교장추천전형
"Q : 양자 분야와 인공지능 분야에 관심이 많은 것 같은데, 둘 중 어떠한 분야에 더 관심이 있나요?",2024,GIST,기초교육학부,학생부종합전형 학교장추천전형
Q : 자신의 장단점이 무엇인지 말해보세요. ,2024,GIST,기초교육학부,학생부종합전형 학교장추천전형
Q : 마지막으로 하고 싶은 말이 있나요?,2024,GIST,기초교육학부,학생부종합전형 학교장추천전형
Q : (학업 관련 질문) 1학년 때 탐구한 내용인 중성자별과 블랙홀에 대한 설명해 주실 수 있나요?,2024,GIST,기초교육학부,학생부종합 학교장추천전형
Q : 수학2에서 극한에 대해 탐구하면서 로런츠 변환은 극한을 이용하여 해석했다 하였는데 설명해 주세요,2024,GIST,기초교육학부,학생부종합 학교장추천전형
Q : 되게 구체적이고 잘 알고 있네요. 학생부 내용 면접 준비했나요?,2024,GIST,기초교육학부,학생부종합 학교장추천전형
Q : 여기 학생이 일반고라고 적혀있는데 과학고 왜 안 갔어요? ,2024,GIST,기초교육학부,학생부종합 학교장추천전형
Q : 입학하고 나서 앞으로의 계획은?,2024,GIST,기초교육학부,학생부종합 학교장추천전형
Q : 목표가 무엇인가요? (아마 학생부는 원자력 쪽인데 자소서는 화학 위주로 적혀 나온 질문인 것 같음),2024,GIST,기초교육학부,학생부종합 학교장추천전형
Q : 수학에서 어떤 부분을 가장 좋아하세요?,2024,GIST,기초교육학부,학생부종합 일반전형
"Q : 아, 내적! 외적! 얘기가 나와서 말인데 내적이랑 외적이 뭔지 설명해 주실 수 있나요?",2024,GIST,기초교육학부,학생부종합 일반전형
Q : 혹시 외적은 왜 방향이 있을 까요?,2024,GIST,기초교육학부,학생부종합 일반전형
Q : 돌림힘 공식이 뭐죠?,2024,GIST,기초교육학부,학생부종합 일반전형
Q : 베르누이 정리 관련해서 활동했던데 혹시 무선 선풍기를 본 적이 있나요? (자기소개서에 베르누이 정리  관련된 활동 작성함.),2024,GIST,기초교육학부,학생부종합 일반전형
Q : (무선 선풍기의 구조를 설명해 주심.),2024,GIST,기초교육학부,학생부종합 일반전형
Q : 아~~ 그게 맞아요! 선풍기 구조를 몰라서 헷갈릴 거 같네요~,2024,GIST,기초교육학부,학생부종합 일반전형
Q : 보통 기초 학문을 하다가 융합 학문을 배우려고 하는데 학생 같은 경우에는 반대로 진로가 바꼈네요?  이유가 있나요?,2024,GIST,기초교육학부,학생부종합 일반전형
Q : 마지막으로 하고 싶은 말이나 질문 같은 거 있나요?,2024,GIST,기초교육학부,학생부종합 일반전형
Q : 지원해 주셔서 감사합니다. 보니까 학교 어때요? 좋은 거 같죠 여기 와보니까 기분이 어때요?,2024,GIST,기초교육학부,전 형 명
Q : 지스트에 왜 지원했는지 말해주세요.,2024,GIST,기초교육학부,전 형 명
Q : 사회적 소수자를 위한 기술은 어떤 예시가 있을까요?,2024,GIST,기초교육학부,전 형 명
Q : 어려운 것을 만나면 잘 아는 사람에게 물어보는 편인가요 혼자 해결할려고 하는 편인가요?,2024,GIST,기초교육학부,전 형 명
Q : 그런 사례에는 어떤 것이 있었나요?,2024,GIST,기초교육학부,전 형 명
Q : 로그의 유용성을 파악하고 특성에 관한 책을 읽었다고 하는 데 간단하게 어떤 특성이 있는지 설명해 주세요,2024,GIST,기초교육학부,전 형 명
Q : 그런 특성을 일상생활에서 발견할 수 있는 것에는 어떤 것이 있나요?,2024,GIST,기초교육학부,전 형 명
Q : 팀으로 했던 활동 중에서 가장 인상 깊었던 것은 어떤 것인가요?,2024,GIST,기초교육학부,전 형 명
Q : 그 자동차는 어느 정도 크기인가요?,2024,GIST,기초교육학부,전 형 명
Q : 팀의 리더로써 팀을 이끌었다고 하는데 리더로써 가장 중요한 덕목이 무엇인것 같나요?,2024,GIST,기초교육학부,전 형 명
Q : 그러면 잘하는 학생이 불만이 있지 않을까요?,2024,GIST,기초교육학부,전 형 명
Q : 마지막으로 지스트를 다른 학교에 비해서 더 원하는 이유는 무엇인가요?,2024,GIST,기초교육학부,전 형 명
"Q : 지원자분이 제출한 서류 중에, 수학/과학 관련 내용 중 파동방정식이 무엇인지 설명해 볼래요?",2024,GIST,기초교육학부,고른기회전형 기초교육학부
Q : 파동을 어떻게 표현할 수 있나요?,2024,GIST,기초교육학부,고른기회전형 기초교육학부
Q : 좋습니다. 그러면 그동안 수학 공부한 내용 중에 인상 깊었던 것 소개해 볼래요?,2024,GIST,기초교육학부,고른기회전형 기초교육학부
"Q : 그러면, 과학이나 기술 공부한 내용 중에 인상 깊었던 것이 있다면 소개해 볼래요?",2024,GIST,기초교육학부,고른기회전형 기초교육학부
Q : (꼬리 질문) 트랜지스터의 증폭작용이 어떻게 활용될 수 있는지 아는 게 있을까요?,2024,GIST,기초교육학부,고른기회전형 기초교육학부
"Q : 그렇다면, 요즘 관심이 있는 과학, 기술 분야가 있나요?",2024,GIST,기초교육학부,고른기회전형 기초교육학부
Q : 혹시 터널링 펫 연구하고 계신 교수님 성함 혹은 어디서 연구하고 있는지 알고 있는 것이 있나요?,2024,GIST,기초교육학부,고른기회전형 기초교육학부
"Q : 자신만의 목표가 있는지, 이를 어떻게 이루어 갈지 말해볼까요?",2024,GIST,기초교육학부,고른기회전형 기초교육학부
Q : 혹시 학생이 연구하고 싶은 분야에 진출해 있는 기업체 같은 게 있는지 알고 있는 게 있나요?,2024,GIST,기초교육학부,고른기회전형 기초교육학부
"Q : 적절한 답변인 것 같네요. ~~이라는 기업이 있는 데, 그 기업에서 관련 연구, 개발을 하고 있어요.",2024,GIST,기초교육학부,고른기회전형 기초교육학부
Q : 30살에 어떤 사람이 되어 있을 것 같나요?,2024,GIST,기초교육학부,고른기회전형 기초교육학부
Q : 지스트 생활에서 기대하는 것이 있다면 말해볼래요?,2024,GIST,기초교육학부,고른기회전형 기초교육학부
"Q : 제출한 서류를 보니, 학교생활 중 리더를 주로 맡으셨죠? 어떻게 지도자가 될 수 있었나요?",2024,GIST,기초교육학부,고른기회전형 기초교육학부
"Q : 단체활동, 공동체 생활에서 중요하다고 생각하는 것이 있다면 말해볼래요?",2024,GIST,기초교육학부,고른기회전형 기초교육학부
