내용,대입연도,대학명,모집단위,전형명
Q : (기본)삶에 참다운 행복을 가져다주는 것은 무엇이라고 생각하는지 말해 보시오.,2009,계명대,계열공통,면접
Q : (학업)대학에 진학하려는 이유와 대학교육이 자신에게 갖는 의미를 말해 보시오.,2009,계명대,계열공통,면접
Q : (학업)계명대학교를 지원한 동기와 이 전공(모집단위)을 선택한 이유를 말해 보시오.,2009,계명대,계열공통,면접
Q : (학업)입학 후 1년 동안의 학업 및 생활계획을 말해 보시오. ,2009,계명대,계열공통,면접
Q : (학업)대학생활 동안 꼭 하고 싶은 일을 이루기 위한 구체적인 계획을 말해 보시오.,2009,계명대,계열공통,면접
Q : (학업)장래에 희망하는 직업을 갖고자 대학에서 어떻게 준비할 계획인지 말해 보시오.,2009,계명대,계열공통,면접
Q : (학업)10년 후 자신의 모습에 대해 말해 보시오.,2009,계명대,계열공통,면접
"Q : (기본)본인의 가족에 대해 자랑해 보고, 자신이 가족을 위해 할 수 있는 것을 말해 보십시오. ",2009,계명대,계열공통,면접
"Q : (기본)지하철이나 저수지 등에서 남을 구하기 위해 자신을 희생하는 경우가 있는데, 이에 대해 어떻게 생각하며, 자신이라면 어떻게 할 것입니까?",2009,계명대,계열공통,면접
"Q : (기본)자신이 참가한 봉사활동 중 가장 기억에 남는 것은 무엇이며, 자신의 역할은 어떤 것이었습니까? 기억에 남는 것이 없다면 앞으로 어떤 봉사활동을 해 보고 싶습니까?",2009,계명대,계열공통,면접
"Q : (기본)집단따돌림(왕따)을 당했거나, 집단따돌림에 동참해 본 경험이 있습니까? 이유가 무엇이라고 생각합니까? 집단따돌림을 방지하기 위해 어떻게 해야 하겠습니까?",2009,계명대,계열공통,면접
Q : (기본)행복이란 무엇이라고 생각합니까? 본인은 어떤 인생을 살고 싶습니까?,2009,계명대,계열공통,면접
