사례번호,줄번호,내용,대입연도,대학명,모집단위,전형명
136,1,2015학년도 대입 면접 후기[경북대 응용생명과학부],2015,경북대,응용생명과학부,학생부종합전형
136,2,대학명,2015,경북대,응용생명과학부,학생부종합전형
136,3,경북대학교,2015,경북대,응용생명과학부,학생부종합전형
136,4,학과(부),2015,경북대,응용생명과학부,학생부종합전형
136,5,응용생명과학부,2015,경북대,응용생명과학부,학생부종합전형
136,6,[전형유형],2015,경북대,응용생명과학부,학생부종합전형
136,7,학생부종합전형,2015,경북대,응용생명과학부,학생부종합전형
136,8,합/불 현황,2015,경북대,응용생명과학부,학생부종합전형
136,9,면접시간,2015,경북대,응용생명과학부,학생부종합전형
136,10,15분,2015,경북대,응용생명과학부,학생부종합전형
136,11,면접위원수,2015,경북대,응용생명과학부,학생부종합전형
136,12,3명,2015,경북대,응용생명과학부,학생부종합전형
136,13,면접절차,2015,경북대,응용생명과학부,학생부종합전형
136,14,면 접 특 징[유의사항],2015,경북대,응용생명과학부,학생부종합전형
136,15,◈ 확인면접,2015,경북대,응용생명과학부,학생부종합전형
136,16,질문 및 답변 내용 (질문 위주로 구체적으로 진술),2015,경북대,응용생명과학부,학생부종합전형
136,17,Q : 학교생활을 하며 가장 기억에 남는 활동이 있는가?,2015,경북대,응용생명과학부,학생부종합전형
136,18,A : 발명동아리 활동이 가장 기억에 남는다. 동아리 부장을 맡으며 많은 부원들 앞에서 발표와 설명을 하는 과정에서 소심한 성격을 많이 고칠 수 있었다. 뿐만 아니라 다양한 부원들의 의견을 조율하고 통합하는 과정에서 진정한 리더십이란 함께 협력할 수 있는 화합의 장을 만드는 것이라는 생각을 갖게 되었다.,2015,경북대,응용생명과학부,학생부종합전형
136,19,Q : 3년간 진로희망을 기관사라고 했는데 다른 학교는 어디에 지원했는가? ,2015,경북대,응용생명과학부,학생부종합전형
136,20,A : 사실 한국교통대학교에도 지원했다. 하지만 충북대학교 식물자원학과에도 지원할 만큼 식물에 많은 관심과 흥미가 있다.,2015,경북대,응용생명과학부,학생부종합전형
136,21,"[본인이 느꼈던 잘한 점, 아쉬운 점, 준비해야할 것 / 후배에게 당부하고 싶은 사항]",2015,경북대,응용생명과학부,학생부종합전형
136,22,"◈ 기본질문 위주로 물음. 시사상식, 전공지식은 묻지 않았음.",2015,경북대,응용생명과학부,학생부종합전형
140,23,2015학년도 대입 면접 후기[경북대 의예과],2015,경북대,의예과,학생부종합 일반전형
140,24,대학명,2015,경북대,의예과,학생부종합 일반전형
140,25,경북대학교,2015,경북대,의예과,학생부종합 일반전형
140,26,학과(부),2015,경북대,의예과,학생부종합 일반전형
140,27,의과대학,2015,경북대,의예과,학생부종합 일반전형
140,28,[전형유형],2015,경북대,의예과,학생부종합 일반전형
140,29,학생부종합 일반전형,2015,경북대,의예과,학생부종합 일반전형
140,30,합/불 현황,2015,경북대,의예과,학생부종합 일반전형
140,31,합격,2015,경북대,의예과,학생부종합 일반전형
140,32,면접시간,2015,경북대,의예과,학생부종합 일반전형
140,33,15분,2015,경북대,의예과,학생부종합 일반전형
140,34,면접위원수,2015,경북대,의예과,학생부종합 일반전형
140,35,3명,2015,경북대,의예과,학생부종합 일반전형
140,36,면접절차,2015,경북대,의예과,학생부종합 일반전형
140,37,대기실에서 대기 &#8211; 4명씩 조를 이루어 각 방에 1명씩 들어감  (오전반의 경우) 오후반이 모두 입실할 때까지 대기,2015,경북대,의예과,학생부종합 일반전형
140,38,면 접 특 징[유의사항],2015,경북대,의예과,학생부종합 일반전형
140,39,거의 대부분 단정한 교복차림,2015,경북대,의예과,학생부종합 일반전형
140,40,"오전반의 경우, 면접 전 ,후의 대기시간은 대략 4시간 정도",2015,경북대,의예과,학생부종합 일반전형
140,41, 분위기는 화기애애했던 걸로 기억.,2015,경북대,의예과,학생부종합 일반전형
140,42,질문 및 답변 내용 (질문 위주로 구체적으로 진술),2015,경북대,의예과,학생부종합 일반전형
140,43,Q. (처음에 긴장을 풀어주기 위해) OOO고에 재학중이라고 했는데 경북대와 가까워서 통학에는 불편함이 없겠군요.,2015,경북대,의예과,학생부종합 일반전형
140,44,Q. (경북대학교 면접에서 항상있는 거 ) 대략적인 자기소개와 지원동기 및 학업계획은?,2015,경북대,의예과,학생부종합 일반전형
